INDICATION,METRIC,PRODUCT,ROW_TYPE,NON_APPROVED_FLAG,MONTH_DATE,TRX_VOLUME
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-05-01,407630.936812
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-06-01,444631.335669
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-07-01,433560.696239
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-08-01,428285.754191
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-09-01,435664.704923
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-10-01,428981.432453
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-11-01,425074.370217
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-12-01,455508.988231
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-01-01,420564.42682
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-02-01,405457.092717
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-03-01,482129.7135
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-04-01,443941.363883
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-05-01,447738.157275
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-06-01,476226.435207
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-07-01,451864.968194
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-08-01,478841.361552
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-09-01,469498.54317
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-10-01,461666.921996
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-11-01,475509.261736
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-12-01,480785.758468
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-01-01,451377.563427
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-02-01,425177.259822
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-03-01,492567.458804
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-04-01,451479.65924
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-05-01,485088.127852
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-06-01,491098.890224
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-07-01,459043.516401
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-08-01,511272.360635
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-09-01,472115.787941
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-10-01,487405.857173
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-11-01,485556.962492
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-12-01,486596.568871
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-01-01,482404.432963
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-02-01,449051.619882
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-03-01,509053.922106
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-04-01,467797.790955
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-05-01,529142.574724
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-06-01,507857.011261
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-07-01,495741.717339
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-08-01,524524.603207
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-09-01,481527.252546
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-10-01,520593.3151
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-11-01,503249.844669
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2023-12-01,491645.68117
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-01-01,503436.805132
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-02-01,472885.68901
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-03-01,486648.213169
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-04-01,497793.685632
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-05-01,513977.342241
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-06-01,488735.425529
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-07-01,524967.786779
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-08-01,512042.816469
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-09-01,511110.1993
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-10-01,549606.928985
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-11-01,499688.976432
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2024-12-01,539109.379933
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-01-01,515612.156005
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-02-01,480588.001467
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-03-01,542130.369096
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-04-01,540292.307239
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-05-01,540867.662423
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-06-01,558536.688881
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-07-01,574758.978343
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-08-01,562267.112833
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-09-01,580556.290694
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-10-01,593057.59715
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-11-01,541050.909323
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2025-12-01,609311.583263
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2026-01-01,540126.800709
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2026-02-01,526489.171036
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2026-03-01,597440.647657
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2026-04-01,568917.992395
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2020-05-01,91146.326772
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2020-06-01,102660.466818
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2020-07-01,99749.421188
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2020-08-01,97761.622483
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2020-09-01,101263.057437
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2020-10-01,97951.305678
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2020-11-01,98128.076469
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2020-12-01,106636.918409
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-01-01,95889.322701
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-02-01,94327.361782
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-03-01,112345.188634
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-04-01,102084.753965
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-05-01,100744.933988
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-06-01,112559.83834
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-07-01,103764.097475
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-08-01,111605.838637
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-09-01,107848.166955
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-10-01,104561.704882
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-11-01,110652.276981
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2021-12-01,111660.594423
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-01-01,104601.568203
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-02-01,99938.834478
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-03-01,116912.848678
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-04-01,105078.819395
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-05-01,113557.158592
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-06-01,117906.323113
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-07-01,105634.63913
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-08-01,122187.275623
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-09-01,108708.535174
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-10-01,114454.258429
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-11-01,114927.220291
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2022-12-01,112581.483879
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-01-01,113714.056666
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-02-01,106511.642448
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-03-01,119533.833249
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-04-01,108902.739826
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-05-01,124836.600156
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-06-01,119032.998116
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-07-01,115285.458048
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-08-01,123940.635525
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-09-01,108791.704443
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-10-01,121759.549082
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-11-01,116902.485656
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2023-12-01,109993.715654
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-01-01,115668.878174
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-02-01,107325.303935
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-03-01,103311.500933
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-04-01,94089.703996
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-05-01,94439.297097
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-06-01,90519.525526
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-07-01,96836.116171
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-08-01,90448.288475
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-09-01,89642.1149
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-10-01,98980.045908
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-11-01,88821.66876
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2024-12-01,99571.553524
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-01-01,82766.364933
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-02-01,75151.395743
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-03-01,80099.91019
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-04-01,79908.221078
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-05-01,77423.426301
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-06-01,80004.243105
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-07-01,76972.773966
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-08-01,74166.425685
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-09-01,80107.200711
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-10-01,79005.293536
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-11-01,71448.710111
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2025-12-01,80153.988649
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2026-01-01,56396.407666
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2026-02-01,52182.623459
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2026-03-01,53641.818663
RA / JIA,TRx Volume,HUMIRA (Including Citrate Free),PRODUCT,N,2026-04-01,48411.041648
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2020-05-01,78366.025837
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2020-06-01,87966.978872
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2020-07-01,84732.723808
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2020-08-01,82902.968604
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2020-09-01,84291.942526
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2020-10-01,81531.167933
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2020-11-01,81598.806281
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2020-12-01,88294.334685
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-01-01,76510.329623
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-02-01,74975.114313
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-03-01,90637.755232
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-04-01,81404.954804
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-05-01,79861.180843
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-06-01,88245.771386
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-07-01,80026.543583
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-08-01,86190.839123
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-09-01,83393.422049
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-10-01,80144.567142
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-11-01,85347.343476
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2021-12-01,85532.641862
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-01-01,77661.78359
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-02-01,75388.844474
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-03-01,88217.247512
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-04-01,79208.999223
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-05-01,85748.73573
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-06-01,88762.612646
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-07-01,78614.016154
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-08-01,91193.953639
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-09-01,81361.49406
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-10-01,84488.217366
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-11-01,84810.832135
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2022-12-01,83890.815569
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-01-01,82595.622308
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-02-01,78112.89381
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-03-01,87275.675075
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-04-01,80243.368122
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-05-01,91737.547555
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-06-01,87032.798171
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-07-01,84768.117472
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-08-01,91943.406013
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-09-01,80087.250482
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-10-01,89941.655949
