MARKET,METRIC,PRODUCT,ROW_TYPE,NON_APPROVED_FLAG,WEEK_ENDING,TRX_ADJUSTED
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-03,56017.753435
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-10,56407.378733
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-17,56677.260783
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-24,58010.333171
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-31,50526.379437
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-07,60849.219938
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-14,57991.994623
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-21,57448.546358
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-28,59107.154888
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-05,43349.643613
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-12,62367.885042
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-19,56640.646513
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-26,56911.888863
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-02,55474.564931
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-09,56293.119859
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-16,57016.608027
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-23,57553.150972
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-30,59187.932228
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-09-06,51312.566655
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-09-13,59165.044225
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-09-20,59412.71822
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-09-27,57506.629812
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-10-04,59309.87572
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-10-11,56557.050769
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-10-18,59941.946282
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-10-25,58416.411178
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-11-01,62135.942034
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-11-08,62188.773359
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-11-15,61960.581242
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-11-22,63435.798324
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-11-29,46937.790443
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-12-06,68093.453873
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-12-13,64516.046014
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-12-20,64726.239188
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-12-27,48690.353458
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-01-03,53324.581581
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-01-10,59623.472852
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-01-17,61687.050398
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-01-24,52137.140868
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-01-31,63098.718102
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-02-07,62583.52494
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-02-14,60760.276642
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-02-21,58628.244126
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-02-28,65406.499521
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-03-07,63919.697955
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-03-14,62358.411362
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-03-21,61934.390435
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-03-28,64983.971311
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-04-04,60024.616124
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-04-11,65620.569086
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-04-18,63810.28143
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-04-25,64843.122115
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-05-02,64623.80399
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-05-09,65656.090908
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-05-16,64923.28777
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-05-23,68516.145712
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-05-30,58260.109223
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-06-06,68630.286903
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-06-13,66442.386058
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-06-20,65500.225344
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-06-27,68273.588883
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-07-04,54010.28583
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-07-11,70802.391208
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-07-18,66837.670554
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-07-25,66779.412386
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-08-01,66676.457132
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-08-08,68794.035838
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-08-15,69417.226437
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-08-22,69441.08373
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-08-29,72202.942832
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-09-05,59590.81365
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2025-09-12,70003.451215
