hcp_id,week_ending,product,trx,nrx
HCP001,2026-01-03,PRODUCT_A,8,4
HCP001,2026-01-03,COMPETITOR_X,10,3
HCP002,2026-01-03,PRODUCT_A,10,3
HCP002,2026-01-03,COMPETITOR_X,10,2
HCP003,2026-01-03,PRODUCT_A,11,1
HCP003,2026-01-03,COMPETITOR_X,12,2
HCP004,2026-01-03,PRODUCT_A,10,2
HCP004,2026-01-03,COMPETITOR_X,10,1
HCP005,2026-01-03,PRODUCT_A,13,3
HCP005,2026-01-03,COMPETITOR_X,14,5
HCP006,2026-01-03,PRODUCT_A,4,4
HCP006,2026-01-03,COMPETITOR_X,9,1
HCP007,2026-01-03,PRODUCT_A,8,3
HCP007,2026-01-03,COMPETITOR_X,11,4
HCP008,2026-01-03,PRODUCT_A,4,0
HCP008,2026-01-03,COMPETITOR_X,10,1
HCP009,2026-01-03,PRODUCT_A,9,7
HCP009,2026-01-03,COMPETITOR_X,9,2
HCP010,2026-01-03,PRODUCT_A,7,2
HCP010,2026-01-03,COMPETITOR_X,10,3
HCP001,2026-01-10,PRODUCT_A,10,6
HCP001,2026-01-10,COMPETITOR_X,20,1
HCP002,2026-01-10,PRODUCT_A,8,3
HCP002,2026-01-10,COMPETITOR_X,13,4
HCP003,2026-01-10,PRODUCT_A,10,3
HCP003,2026-01-10,COMPETITOR_X,13,0
HCP004,2026-01-10,PRODUCT_A,8,3
HCP004,2026-01-10,COMPETITOR_X,17,1
HCP005,2026-01-10,PRODUCT_A,8,2
HCP005,2026-01-10,COMPETITOR_X,18,2
HCP006,2026-01-10,PRODUCT_A,3,0
HCP006,2026-01-10,COMPETITOR_X,19,2
HCP007,2026-01-10,PRODUCT_A,5,5
HCP007,2026-01-10,COMPETITOR_X,7,3
HCP008,2026-01-10,PRODUCT_A,8,2
HCP008,2026-01-10,COMPETITOR_X,15,1
HCP009,2026-01-10,PRODUCT_A,10,3
HCP009,2026-01-10,COMPETITOR_X,12,3
HCP010,2026-01-10,PRODUCT_A,9,3
HCP010,2026-01-10,COMPETITOR_X,9,4
HCP001,2026-01-17,PRODUCT_A,14,3
HCP001,2026-01-17,COMPETITOR_X,11,5
HCP002,2026-01-17,PRODUCT_A,12,6
HCP002,2026-01-17,COMPETITOR_X,9,4
HCP003,2026-01-17,PRODUCT_A,7,3
HCP003,2026-01-17,COMPETITOR_X,9,3
