week_ending,specialty,product_a_trx,competitor_x_trx,product_a_share_pct
2026-02-07,NEURO,19.0,30.0,38.8
2026-02-07,PCP,57.0,85.0,40.1
2026-02-14,NEURO,27.0,41.0,39.7
2026-02-14,PCP,60.0,93.0,39.2
2026-02-21,NEURO,28.0,39.0,41.8
2026-02-21,PCP,57.0,84.0,40.4
2026-02-28,NEURO,27.0,37.0,42.2
2026-02-28,PCP,63.0,81.0,43.8
2026-03-07,NEURO,32.0,36.0,47.1
2026-03-07,PCP,44.0,80.0,35.5
2026-03-14,NEURO,28.0,31.0,47.5
2026-03-14,PCP,54.0,92.0,37.0
2026-03-21,NEURO,18.0,35.0,34.0
2026-03-21,PCP,47.0,86.0,35.3
2026-03-28,NEURO,21.0,35.0,37.5
2026-03-28,PCP,44.0,67.0,39.6
2026-04-04,NEURO,28.0,35.0,44.4
2026-04-04,PCP,50.0,83.0,37.6
2026-04-11,NEURO,34.0,28.0,54.8
2026-04-11,PCP,68.0,79.0,46.3
2026-04-18,NEURO,28.0,30.0,48.3
2026-04-18,PCP,59.0,85.0,41.0
2026-04-25,NEURO,23.0,31.0,42.6
2026-04-25,PCP,62.0,71.0,46.6
2026-05-02,NEURO,26.0,33.0,44.1
2026-05-02,PCP,62.0,90.0,40.8
