INDICATION,METRIC,PRODUCT,ROW_TYPE,NON_APPROVED_FLAG,MONTH_DATE,TRX_VOLUME
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-05-01,274346.27956160536
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-06-01,554301.6578904818
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-07-01,558854.4941264692
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-08-01,430263.1187762022
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-09-01,640381.2586688773
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-10-01,361369.0116257607
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-11-01,248311.8575326106
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-12-01,388201.3659843064
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-01-01,724274.6393086076
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-02-01,501713.9140095373
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-03-01,361672.1992177326
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-04-01,404881.6718727266
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-05-01,566778.1102078971
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-06-01,643187.547339736
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-07-01,559334.5432576006
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-08-01,720553.8326643864
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-09-01,539465.7478103475
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-10-01,547761.3301233714
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-11-01,406874.9446114575
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-12-01,353523.2389690698
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-01-01,782222.3617757825
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-02-01,415470.9414488965
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-03-01,546101.4829279605
