MARKET,METRIC,PRODUCT,ROW_TYPE,NON_APPROVED_FLAG,WEEK_ENDING,TRX_ADJUSTED
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-03,58947.645929170976
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-10,52067.5153649748
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-17,56920.80857171112
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-24,71463.26615181394
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-31,46715.79510231814
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-07,65038.79434653598
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-14,64747.7744620596
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-21,56186.39285468147
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-28,38361.21283923372
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-05,49506.89392846276
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-12,62457.15247981338
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-19,60368.954572310446
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-26,64460.99086268041
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-02,68819.11502745158
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-09,50597.18962983469
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-16,62843.7533181196
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-23,48982.215812874194
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-30,41175.63334146202
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-09-06,63674.46766526266
