INDICATION,METRIC,PRODUCT,ROW_TYPE,NON_APPROVED_FLAG,MONTH_DATE,TRX_VOLUME
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-05-01,331531.4504180404
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-06-01,497120.66111440136
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-07-01,401979.000156278
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-08-01,390241.239480356
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-09-01,536093.4947455537
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-10-01,417524.7077259994
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-11-01,376379.2316482219
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2020-12-01,473079.33915424393
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-01-01,494627.61847898114
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-02-01,447235.5343889774
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-03-01,465166.5939916201
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-04-01,425781.0194603867
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-05-01,424389.79951716296
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-06-01,550465.2201143374
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-07-01,527349.3095752936
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-08-01,520194.2997602153
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-09-01,460122.4323999509
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-10-01,479344.6038584855
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-11-01,589872.0492609986
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2021-12-01,582997.751892141
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-01-01,533888.3871189253
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-02-01,378093.2581975545
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-03-01,596386.7833283327
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-04-01,545366.0365119966
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-05-01,374487.4645904495
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-06-01,398562.5068328226
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-07-01,445406.5732523773
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-08-01,586100.6601582225
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-09-01,408093.75524694304
RA / JIA,TRx Volume,RA Market,MARKET_TOTAL,N,2022-10-01,597842.2971711893
