MARKET,METRIC,PRODUCT,ROW_TYPE,NON_APPROVED_FLAG,WEEK_ENDING,TRX_ADJUSTED
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-03,55206.03464711867
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-10,53274.65458081292
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-17,56694.49202327464
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-24,57380.92034965759
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-05-31,57177.50587847914
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-07,60661.02623545966
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-14,64858.88890769744
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-21,56867.43110985859
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-06-28,56114.85163414724
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-05,43361.61008924742
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-12,60972.0995881148
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-19,48604.61257776427
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-07-26,61535.135879876056
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-02,59777.94208944632
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-09,56205.53041199458
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-16,62089.04291025063
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-23,48927.4942812212
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-08-30,58999.78566099799
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-09-06,51983.34030100502
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-09-13,67550.51061660728
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-09-20,56468.76399871548
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-09-27,62494.28830317855
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-10-04,57004.38068115804
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-10-11,51654.53652683344
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-10-18,64047.12700883027
SI Market + Oral,TRx (Adjusted),SI Market + Oral,MARKET_TOTAL,N,2024-10-25,64661.90562438128
