NDC_CD,PRODUCT
66993001968,ACTEMRA BIOSIMILARS SQ TOTAL
186037020,SKYRIZI OBI
93317431,SKYRIZI
31722072610,BIMZELX
68180096301,CIMZIA
173068220,COSENTYX SQ
173088710,HUMIRA (Including Citrate Free)
173089310,TREMFYA
310737020,RINVOQ
65862057490,ILUMYA
69097014260,KEVZARA
173088210,KINERET
173085910,OLUMIANT
70954006020,HUMIRA (Including Citrate Free)
597010061,ORENCIA SQ
59310057922,OTEZLA
173087310,SKYRIZI
597007541,SILIQ
310461612,SKYRIZI
173069600,SKYRIZI OBI
31722072690,HUMIRA (Including Citrate Free)
76204020025,SKYRIZI OBI
378827052,STELARA BIOSIMILARS TOTAL SQ
378932132,STELARA SQ
16729011917,TALTZ
29300022019,TREMFYA
29300022010,VELSIPITY
487020103,RINVOQ
597002402,STELARA SQ
55111072590,ZYMFENTRA
50242021501,ACTEMRA BIOSIMILARS SQ TOTAL
68001036103,ACTEMRA SQ
597016061,ADALIMUMAB
173069700,SKYRIZI
76204060030,CIMZIA
59746017509,COSENTYX SQ
42806040021,ENBREL
66993058597,ENTYVIO SQ
378967130,HUMIRA (Including Citrate Free)
54074287,ILUMYA
781729685,SKYRIZI OBI
54032756,STELARA SQ
70954005920,STELARA SQ
59746017506,OMVOH SQ
487020101,ORENCIA SQ
76204020060,STELARA SQ
59746017310,HUMIRA (Including Citrate Free)
76204060060,STELARA SQ
3029328,SIMPONI SC
24591502,SKYRIZI OBI
378932232,SKYRIZI OBI
603459315,SOTYKTU
76204020030,TREMFYA
63323051610,STELARA SQ
60219170801,TREMFYA
173086910,RINVOQ
69097017353,VELSIPITY
591544210,STELARA SQ
59746000103,STELARA SQ
186037220,SKYRIZI OBI
