Date,UC TRx,CD TRx,IBD TRx
2024-05-03,2.612332,5.290623,7.902955
2024-05-10,2.702344,5.472922,8.175266
2024-05-17,2.78221,5.63467,8.41688
2024-05-24,2.782865,5.635995,8.41886
2024-05-31,2.15619,4.366822,6.523012
2024-06-07,2.746877,5.554632,8.301509
2024-06-14,2.713723,5.487589,8.201312
2024-06-21,2.529534,5.115128,7.644662
2024-06-28,2.609349,5.276528,7.885877
2024-07-05,1.809377,3.623258,5.432635
2024-07-12,3.008849,6.025185,9.034034
2024-07-19,2.698503,5.40372,8.102223
2024-07-26,2.653199,5.313,7.966199
2024-08-02,2.616264,5.086316,7.70258
2024-08-09,2.468523,4.79909,7.267613
2024-08-16,2.538201,4.934553,7.472754
2024-08-23,2.450886,4.764803,7.215689
2024-08-30,2.649313,5.150567,7.79988
2024-09-06,2.414876,4.520566,6.935442
2024-09-13,2.900123,5.428932,8.329055
2024-09-20,2.866679,5.366327,8.233006
2024-09-27,2.819985,5.278915,8.0989
2024-10-04,3.126088,5.1686,8.294688
2024-10-11,2.848107,4.708993,7.5571
2024-10-18,3.1381,5.18846,8.32656
2024-10-25,2.93562,4.853683,7.789303
2024-11-01,4.741307,4.842223,9.58353
2024-11-08,4.812503,4.914933,9.727436
2024-11-15,6.445226,6.582409,13.027635
2024-11-22,6.443161,6.580299,13.02346
2024-11-29,3.850622,3.932579,7.783201
2024-12-06,8.508722,3.968704,12.477426
2024-12-13,15.687294,7.316988,23.004282
2024-12-20,8.934157,4.167138,13.101295
2024-12-27,13.131984,6.125121,19.257105
2025-01-03,20.110836,3.311256,23.422092
2025-01-10,26.894615,4.428208,31.322823
2025-01-17,30.380545,5.002168,35.382713
2025-01-24,31.611349,5.20482,36.816169
2025-01-31,55.597549,9.154156,64.751705
2025-02-07,60.02064,6.134223,66.154863
2025-02-14,63.630046,6.503111,70.133157
2025-02-21,85.133014,8.700755,93.833769
2025-02-28,93.289426,9.534356,102.823782
2025-03-07,141.681555,9.624129,151.305684
2025-03-14,136.408007,9.265908,145.673915
2025-03-21,148.381465,10.07924,158.460705
2025-03-28,159.800669,10.854922,170.655591
2025-04-04,153.521199,14.374245,167.895444
2025-04-11,221.599095,20.748403,242.347498
2025-04-18,211.750973,19.82632,231.577293
2025-04-25,293.869958,27.51515,321.385108
2025-05-02,271.593679,52.947857,324.541536
2025-05-09,328.537725,64.049239,392.586964
2025-05-16,370.178806,72.167271,442.346077
2025-05-23,471.394713,91.899561,563.294274
2025-05-30,384.06305,74.874038,458.937088
2025-06-06,493.561404,194.483046,688.04445
2025-06-13,534.701958,210.694079,745.396037
2025-06-20,605.6644,238.656136,844.320536
2025-06-27,720.101527,283.748968,1003.850495
2025-07-04,429.139693,310.52569,739.665383
2025-07-11,730.309522,528.452325,1258.761847
2025-07-18,706.457976,511.193335,1217.651311
2025-07-25,769.758564,556.997671,1326.756235
2025-08-01,752.326198,651.555866,1403.882064
2025-08-08,844.072529,731.013236,1575.085765
2025-08-15,911.742977,789.619566,1701.362543
2025-08-22,989.051921,856.573363,1845.625284
2025-08-29,1046.923918,906.693695,1953.617613
2025-09-05,865.785956,799.328872,1665.114828
2025-09-12,1107.241494,1022.250463,2129.491957
2025-09-19,1177.814627,1087.406455,2265.221082
2025-09-26,1149.275189,1061.057682,2210.332871
2025-10-03,1188.668498,1228.424547,2417.093045
2025-10-10,1196.056556,1236.059704,2432.11626
2025-10-17,1332.136658,1376.691123,2708.827781
2025-10-24,1342.50119,1387.402305,2729.903495
2025-10-31,1396.510944,1443.218462,2839.729406
2025-11-07,1497.327143,1654.789059,3152.116202
2025-11-14,1611.036366,1780.456171,3391.492537
2025-11-21,1711.867565,1891.89098,3603.758545
2025-11-28,1213.207282,1340.790586,2553.997868
2025-12-05,1919.659971,2157.619854,4077.279825
2025-12-12,1934.914688,2174.765537,4109.680225
2025-12-19,2020.871073,2271.377023,4292.248096
2025-12-26,1349.661994,1516.965275,2866.627269
2026-01-02,1565.882949,1769.179053,3335.062002
2026-01-09,2289.050671,2586.234494,4875.285165
2026-01-16,2164.959166,2446.032385,4610.991551
2026-01-23,1748.106984,1975.060944,3723.167928
2026-01-30,1774.982863,2005.426076,3780.408939
2026-02-06,2431.445212,2869.197054,5300.642266
2026-02-13,2366.376774,2792.413842,5158.790616
2026-02-20,2190.94118,2585.393226,4776.334406
2026-02-27,2343.009056,2764.839053,5107.848109
2026-03-06,2540.48585,3112.042916,5652.528766
2026-03-13,2462.2867,3016.250565,5478.537265
2026-03-20,2428.318927,2974.640742,5402.959669
2026-03-27,2770.962167,3394.371663,6165.33383
2026-04-03,2719.39605,3402.740504,6122.136554
2026-04-10,2565.06414,3209.627243,5774.691383
2026-04-17,2591.39877,3242.579381,5833.978151
2026-04-24,2781.238172,3480.122648,6261.36082
2026-05-01,3026.023211,3786.418588,6812.441799
2026-05-08,3120.916383,3905.157025,7026.073408
