WEEK_ENDING,UC,CD,TREMFYA_TRx_total
2024-05-03,3.2761,5.769896,9.045995495804751
2024-05-10,2.654476,4.675087,7.32956358241961
2024-05-17,3.325078,5.856157,9.181234489239062
2024-05-24,2.296487,4.044593,6.341080042615675
2024-05-31,2.847735,5.015456,7.86319073271784
2024-06-07,3.466003,5.925582,9.391585261472414
2024-06-14,3.383614,5.784727,9.168341579418207
2024-06-21,3.216755,5.499459,8.716213595399058
2024-06-28,2.331576,3.986132,6.31770796796906
2024-07-05,1.708196,4.436085,6.144280170724337
2024-07-12,2.560256,6.648837,9.209093360359104
2024-07-19,2.344949,6.089697,8.43464677678886
2024-07-26,1.672779,4.344109,6.016888237147194
2024-08-02,1.823509,4.296293,6.119801848667743
2024-08-09,2.469521,5.818333,8.287853633426053
2024-08-16,2.248308,5.297142,7.545449661238988
2024-08-23,2.141902,5.046445,7.188347562072592
2024-08-30,2.83951,6.690048,9.529557468559572
2024-09-06,1.730803,3.984683,5.715486590067185
2024-09-13,2.839312,6.53671,9.376022841712704
2024-09-20,2.429921,5.594204,8.024125308668317
2024-09-27,2.007194,4.620994,6.628188310619231
2024-10-04,2.881987,4.418608,7.3005950155746975
2024-10-11,2.824312,4.330181,7.154493349852214
2024-10-18,3.088331,4.734971,7.823302481403153
2024-10-25,2.36245,3.622063,5.984513188487777
2024-11-01,3.881197,4.039634,7.920831214722657
2024-11-08,5.085489,5.293087,10.37857618687447
2024-11-15,5.29906,5.515376,10.814436225910352
2024-11-22,5.199284,5.411527,10.610811342654484
2024-11-29,3.669266,3.819051,7.488317148730021
2024-12-06,7.275571,2.817271,10.09284246573086
2024-12-13,13.856834,5.36569,19.22252452520688
2024-12-20,9.651326,3.737219,13.388544697353016
2024-12-27,10.741294,4.15928,14.900574361286845
2025-01-03,16.334964,3.511933,19.84689628898051
2025-01-10,28.697581,6.169831,34.86741195481212
2025-01-17,35.574538,7.648341,43.22287941155262
2025-01-24,33.214742,7.140997,40.355739376598905
2025-01-31,52.677685,11.325429,64.0031143160514
2025-02-07,72.169156,5.621278,77.79043400182907
2025-02-14,54.777754,4.266656,59.044409982747645
2025-02-21,70.648025,5.502797,76.150821213358
2025-02-28,73.460192,5.721837,79.18202920503514
2025-03-07,172.964966,14.198474,187.1634395245076
2025-03-14,128.130187,10.518044,138.64823038882162
2025-03-21,137.064847,11.251479,148.31632576862947
2025-03-28,123.441635,10.133166,133.57480149310402
2025-04-04,122.065743,11.595897,133.6616394136191
2025-04-11,195.302447,18.553175,213.8556220829686
2025-04-18,250.784443,23.823806,274.6082490152459
2025-04-25,299.986386,28.49785,328.48423536048887
2025-05-02,297.785441,60.671994,358.45743439837554
2025-05-09,350.195866,71.350303,421.5461690841754
2025-05-16,341.202987,69.518058,410.7210442190087
2025-05-23,436.30876,88.895287,525.2040469595988
2025-05-30,287.079868,58.490798,345.5706656662436
2025-06-06,476.645726,196.839737,673.4854626718612
2025-06-13,652.615088,269.509565,922.1246529167296
2025-06-20,545.823808,225.408115,771.2319234015855
2025-06-27,632.602175,261.24486,893.8470352388597
2025-07-04,468.110258,299.466535,767.5767929803809
2025-07-11,754.186652,482.47963,1236.6662810898583
2025-07-18,625.665147,400.259919,1025.9250667025342
2025-07-25,820.352805,524.808437,1345.16124179911
2025-08-01,898.122197,697.018451,1595.140648242336
2025-08-08,981.565394,761.777398,1743.3427911819024
2025-08-15,839.595859,651.597084,1491.1929426816894
2025-08-22,1064.310204,825.994338,1890.304541970316
2025-08-29,1072.353955,832.236966,1904.590920598215
2025-09-05,560.430243,690.824703,1251.2549461011663
2025-09-12,1029.174339,1268.630781,2297.805120219054
2025-09-19,1026.153838,1264.907505,2291.061342653606
2025-09-26,1216.897619,1500.031354,2716.928972593676
2025-10-03,1173.835846,1115.862472,2289.698317908286
2025-10-10,947.131792,900.354872,1847.4866644686892
2025-10-17,1538.457412,1462.476117,3000.933528769506
2025-10-24,1332.499848,1266.690381,2599.1902288945885
2025-10-31,1471.457986,1398.785658,2870.2436435864697
2025-11-07,1824.01161,1839.031666,3663.0432760966064
2025-11-14,1310.981799,1321.777245,2632.7590440946965
2025-11-21,1420.930835,1432.63167,2853.562504782936
2025-11-28,1221.21711,1231.273377,2452.490486938118
2025-12-05,1549.763667,1763.178325,3312.941992140992
2025-12-12,1994.870789,2269.580203,4264.450992149788
2025-12-19,2322.145894,2641.923666,4964.069560471536
2025-12-26,1312.630702,1493.390284,2806.0209855480507
2026-01-02,1784.193506,2274.762178,4058.955683423425
2026-01-09,2210.01283,2817.661639,5027.674468669362
2026-01-16,2046.976574,2609.798138,4656.774711419262
2026-01-23,1762.936301,2247.660249,4010.596550077236
2026-01-30,1419.5376,1809.843177,3229.3807770473504
2026-02-06,2990.551275,2932.44709,5922.998364760182
2026-02-13,3111.095396,3050.649128,6161.744523424742
2026-02-20,2128.80404,2087.442962,4216.24700211749
2026-02-27,2913.115207,2856.515547,5769.630754113956
2026-03-06,2194.477107,3569.920241,5764.397347910004
2026-03-13,2305.831085,3751.068095,6056.899179508137
2026-03-20,1982.348748,3224.835153,5207.183900906598
2026-03-27,2559.50345,4163.735927,6723.239377643996
2026-04-03,2047.495579,2907.349687,4954.845266014834
2026-04-10,1987.786485,2822.565515,4810.352000264972
2026-04-17,2956.534443,4198.143124,7154.677566912196
2026-04-24,3044.645466,4323.25673,7367.902196357046
2026-05-01,2831.508049,3165.417124,5996.925173221041
2026-05-08,3580.891303,4003.17232,7584.063623030218
2026-05-15,3742.423584,4183.753495,7926.177078867578
2026-05-22,4071.408679,4551.534562,8622.943241071052
2026-05-29,2678.415178,2994.270588,5672.685765969287
2026-06-05,4054.680471,5066.984656,9121.665127648055
2026-06-12,4138.123481,5171.260308,9309.38378953986
2026-06-19,4133.085272,5164.964244,9298.04951587936
2026-06-26,3659.647996,4573.32714,8232.97513652303
2026-07-03,3769.794164,4710.972744,8480.766908149799
