WEEK_ENDING,UC,CD,SKYRIZI_TRx_total
2024-05-03,129.214948,3526.895728,3656.1106760000002
2024-05-10,133.884311,3654.345036,3788.229347
2024-05-17,135.244828,3691.480062,3826.7248900000004
2024-05-24,137.76811,3760.35253,3898.12064
2024-05-31,120.296826,3283.477404,3403.77423
2024-06-07,152.062837,4054.470441,4206.533278
2024-06-14,152.216347,4058.563488,4210.779834999999
2024-06-21,151.002229,4026.1913,4177.193528999999
2024-06-28,164.736286,4392.384182,4557.120468
2024-07-05,111.773016,3001.495599,3113.268615
2024-07-12,174.140079,4676.268915,4850.408994
2024-07-19,155.528904,4176.4939,4332.022803999999
2024-07-26,169.320108,4546.835877,4716.155985
2024-08-02,253.506474,4242.977044,4496.483518
2024-08-09,261.911951,4383.660812,4645.572763
2024-08-16,267.63878,4479.511642,4747.150422
2024-08-23,268.491224,4493.779122,4762.270346
2024-08-30,284.118487,4755.335043,5039.453530000001
2024-09-06,319.726648,3857.25063,4176.977277999999
2024-09-13,397.335316,4793.538192,5190.873508
2024-09-20,417.647718,5038.591352,5456.2390700000005
2024-09-27,403.488534,4867.771932,5271.260466
2024-10-04,596.247129,4730.946974,5327.194103000001
2024-10-11,561.69728,4456.809797,5018.507077
2024-10-18,627.681274,4980.362468,5608.043742000001
2024-10-25,607.716578,4821.951777,5429.668355
2024-11-01,860.603556,5381.880619,6242.4841750000005
2024-11-08,851.395772,5324.298714,6175.694485999999
2024-11-15,868.418388,5430.751548,6299.169936
2024-11-22,897.889687,5615.053617,6512.943304
2024-11-29,586.1334,3665.450796,4251.584196
2024-12-06,1050.32965,6245.61052,7295.94017
2024-12-13,1014.59217,6033.10354,7047.69571
2024-12-20,1064.678339,6330.932613,7395.610952
2024-12-27,769.105326,4573.356868,5342.462194000001
2025-01-03,856.392993,4599.737406,5456.130399000001
2025-01-10,1084.134141,5822.948578,6907.082719
2025-01-17,1145.463734,6152.353448,7297.817182
2025-01-24,935.435258,5024.278088,5959.713346
2025-01-31,1238.567233,6652.417848,7890.985081
2025-02-07,1355.034857,6691.228986,8046.263843000001
2025-02-14,1245.116507,6148.446746,7393.563253
2025-02-21,1216.418503,6006.73459,7223.153093
2025-02-28,1369.620857,6763.255375,8132.876232
2025-03-07,1427.71873,6866.716282,8294.435012
2025-03-14,1376.462382,6620.195173,7996.657555
2025-03-21,1353.087925,6507.774039,7860.861964
2025-03-28,1522.051879,7320.418369,8842.470248000001
2025-04-04,1380.399384,6380.341714,7760.741098
2025-04-11,1586.186421,7331.509639,8917.69606
2025-04-18,1567.812252,7246.582423,8814.394675
2025-04-25,1604.473643,7416.034979,9020.508622000001
2025-05-02,1704.791694,7248.794071,8953.585765
2025-05-09,1745.905485,7423.610391,9169.515876
2025-05-16,1782.309285,7578.399768,9360.709053
2025-05-23,1890.210055,8037.195097,9927.405152
2025-05-30,1591.71931,6768.008984,8359.728294
2025-06-06,1929.739714,8219.325013,10149.064727
2025-06-13,1949.28744,8302.584487,10251.871927
2025-06-20,1941.504621,8269.435187,10210.939808
2025-06-27,2039.130131,8685.250746,10724.380877
2025-07-04,1628.031478,6315.817702,7943.84918
2025-07-11,2233.778209,8665.763621,10899.54183
2025-07-18,2102.589246,8156.826552,10259.415798
2025-07-25,2138.984805,8298.020205,10437.00501
2025-08-01,2244.352536,8479.06155,10723.414085999999
2025-08-08,2354.170308,8893.948086,11248.118394000001
2025-08-15,2380.110075,8991.947342,11372.057417
2025-08-22,2296.415292,8675.75227,10972.167562
2025-08-29,2505.135867,9464.289085,11969.424952000001
2025-09-05,1996.780461,7247.464162,9244.244622999999
2025-09-12,2509.277255,9107.609643,11616.886897999999
2025-09-19,2495.053599,9055.983818,11551.037417
2025-09-26,2549.875713,9254.964783,11804.840495999999
2025-10-03,2627.08752,9295.265297,11922.352817
2025-10-10,2726.594833,9647.346016,12373.940849
2025-10-17,2714.555239,9604.747049,12319.302288
2025-10-24,2504.677666,8862.149895,11366.827561
2025-10-31,2614.6983,9251.429264,11866.127563999999
2025-11-07,2755.418273,9934.066708,12689.484981
2025-11-14,2805.041457,10112.972405,12918.013862
2025-11-21,2923.216842,10539.028282,13462.245124
2025-11-28,1959.454075,7064.389349,9023.843424
2025-12-05,3273.642856,11282.887066,14556.529922
2025-12-12,3163.152057,10902.071182,14065.223239
2025-12-19,3172.054543,10932.754353,14104.808896
2025-12-26,2029.164421,6993.686853,9022.851274
2026-01-02,2271.700805,7948.157522,10219.858327
2026-01-09,3255.517144,11390.304134,14645.821278
2026-01-16,3076.766229,10764.895881,13841.662110000001
2026-01-23,2525.336242,8835.569456,11360.905698
2026-01-30,2525.086227,8834.694708,11359.780935
2026-02-06,3316.063546,11053.950671,14370.014217
2026-02-13,3101.782118,10339.653041,13441.435158999999
2026-02-20,3000.136915,10000.823267,13000.960182
2026-02-27,2974.262732,9914.572824,12888.835556
2026-03-06,3242.186399,10716.333246,13958.519645
2026-03-13,3128.526749,10340.656299,13469.183048
2026-03-20,3058.346317,10108.690336,13167.036653000001
2026-03-27,3258.957354,10771.765947,14030.723301
2026-04-03,3328.79895,11061.675471,14390.474421
2026-04-10,3210.787863,10669.521911,13880.309774000001
2026-04-17,3009.430062,10000.405308,13009.83537
2026-04-24,3148.8446,10463.683026,13612.527626
2026-05-01,3426.530867,11386.440876,14812.971743
2026-05-08,3621.582263,12034.60115,15656.183412999999
