WEEK_ENDING,UC,CD,SKYRIZI_TRx_total
2024-05-03,98.518275,4191.397261,4289.915536102297
2024-05-10,76.55594,3257.023716,3333.579656164024
2024-05-17,100.175056,4261.883961,4362.059016947327
2024-05-24,70.932738,3017.788157,3088.720894469192
2024-05-31,74.195951,3156.619474,3230.815424936388
2024-06-07,165.600215,4725.902365,4891.502580117134
2024-06-14,128.423488,3664.952164,3793.375652611069
2024-06-21,173.904343,4962.885736,5136.790078817338
2024-06-28,179.012607,5108.665487,5287.678094234733
2024-07-05,87.548362,2932.127951,3019.676312912807
2024-07-12,133.277099,4463.652993,4596.9300917411365
2024-07-19,101.625731,3403.600491,3505.226222135925
2024-07-26,162.019995,5426.296345,5588.31634004343
2024-08-02,342.63221,4684.433855,5027.066065285569
2024-08-09,257.624728,3522.219926,3779.8446537519003
2024-08-16,280.104206,3829.55714,4109.66134629061
2024-08-23,249.219397,3407.303069,3656.522466425998
2024-08-30,325.717991,4453.184323,4778.902314872789
2024-09-06,255.874789,3534.436586,3790.3113753847197
2024-09-13,398.446814,5503.805205,5902.252019044782
2024-09-20,392.385392,5420.077889,5812.463280953007
2024-09-27,328.184556,4533.262174,4861.446730624701
2024-10-04,469.81772,3844.689639,4314.5073592545905
2024-10-11,600.401522,4913.304477,5513.7059988288665
2024-10-18,569.55037,4660.838257,5230.388626987913
2024-10-25,692.608022,5667.863876,6360.471898447612
2024-11-01,1016.816809,6754.954786,7771.771595062069
2024-11-08,947.772634,6296.277984,7244.050617301304
2024-11-15,1027.676316,6827.097064,7854.773380651236
2024-11-22,819.24964,5442.469311,6261.7189510529815
2024-11-29,592.522585,3936.267811,4528.790395947967
2024-12-06,921.654944,6464.706163,7386.361106824376
2024-12-13,680.250843,4771.440594,5451.69143619809
2024-12-20,1096.819854,7693.354343,8790.174197175293
2024-12-27,505.803413,3547.824991,4053.628404891731
2025-01-03,724.767593,4323.247236,5048.014829485855
2025-01-10,975.043768,5816.147564,6791.191331519996
2025-01-17,1043.340009,6223.53545,7266.875458681946
2025-01-24,1046.50234,6242.398789,7288.901129175571
2025-01-31,890.728502,5313.206011,6203.93451268025
2025-02-07,1727.52972,8267.566044,9995.095763281537
2025-02-14,1069.539604,5118.574353,6188.113957384373
2025-02-21,1479.732154,7081.663008,8561.39516200306
2025-02-28,1200.750631,5746.520612,6947.271242301201
2025-03-07,1146.421416,5270.282421,6416.703836744636
2025-03-14,1386.659272,6374.694232,7761.3535038856135
2025-03-21,1299.932386,5975.996879,7275.929265337652
2025-03-28,1874.513527,8617.43819,10491.951717465647
2025-04-04,1505.786682,7162.402725,8668.189406665193
2025-04-11,1317.240246,6265.56553,7582.805776224389
2025-04-18,1354.789284,6444.170729,7798.960013226762
2025-04-25,1682.962726,8005.155684,9688.118410086465
2025-05-02,1308.143316,5415.573148,6723.7164635734725
2025-05-09,1465.251506,6065.984219,7531.235725415658
2025-05-16,1522.909521,6304.682222,7827.591742944641
2025-05-23,1555.545922,6439.793426,7995.339348130138
2025-05-30,1743.659936,7218.565287,8962.225222960253
2025-06-06,1971.205562,7335.286501,9306.492062951771
2025-06-13,2355.130079,8763.953496,11119.083575057455
2025-06-20,2651.887126,9868.251295,12520.138420572423
2025-06-27,2720.613799,10123.998258,12844.612057164015
2025-07-04,1390.176179,6083.235974,7473.412153049039
2025-07-11,2351.012385,10287.734272,12638.746657853959
2025-07-18,2178.772978,9534.036303,11712.809280937396
2025-07-25,2410.692175,10548.885519,12959.577694402546
2025-08-01,1837.251623,7555.68934,9392.940963788831
2025-08-08,2661.21029,10944.215786,13605.426075813915
2025-08-15,2338.253174,9616.056048,11954.309222837359
2025-08-22,1905.169002,7834.999265,9740.168267230878
2025-08-29,2562.088654,10536.578486,13098.667139409596
2025-09-05,2174.113521,7991.465741,10165.579261542647
2025-09-12,2669.745553,9813.277882,12483.023434856193
2025-09-19,2070.471513,7610.505158,9680.976671113724
2025-09-26,2819.009138,10361.931305,13180.940443902187
2025-10-03,2946.477895,9581.069254,12527.547149812273
2025-10-10,2431.565234,7906.726516,10338.291750284905
2025-10-17,3378.718777,10986.58797,14365.306747240289
2025-10-24,3064.045562,9963.364318,13027.409880096066
2025-10-31,2421.755741,7874.828965,10296.584706893702
2025-11-07,2629.152955,7398.091079,10027.244034868347
2025-11-14,3444.882902,9693.448003,13138.330904740431
2025-11-21,3641.708919,10247.290561,13888.999479791126
2025-11-28,2302.148001,6477.94209,8780.090091490745
2025-12-05,3709.420369,10983.373964,14692.794332991676
2025-12-12,2684.070718,7947.374391,10631.445108596745
2025-12-19,4326.483434,12810.461145,17136.94457859468
2025-12-26,2495.013225,7387.586353,9882.59957734428
2026-01-02,2188.047341,10360.741989,12548.789329763327
2026-01-09,2071.430111,9808.541404,11879.971515251244
2026-01-16,2618.95266,12401.145208,15020.097867496861
2026-01-23,2350.642882,11130.656982,13481.299863436667
2026-01-30,2106.769535,9975.879033,12082.648567847824
2026-02-06,3277.725496,11403.770237,14681.495732499649
2026-02-13,2943.522489,10241.020548,13184.543037230867
2026-02-20,2541.643796,8842.815518,11384.459314819724
2026-02-27,3070.539311,10682.933898,13753.473208296946
2026-03-06,2760.582366,8328.953685,11089.536051333833
2026-03-13,3986.449051,12027.516338,16013.9653888596
2026-03-20,4051.274766,12223.102017,16274.376783479594
2026-03-27,3709.936336,11193.249762,14903.186097876744
2026-04-03,3682.944656,13897.27726,17580.22191571423
2026-04-10,2842.772457,10726.959192,13569.731648803318
2026-04-17,2555.312527,9642.253685,12197.566212139282
2026-04-24,3057.454309,11537.042834,14594.49714364208
2026-05-01,3801.74134,14591.088722,18392.83006162687
2026-05-08,2549.138823,9783.598465,12332.737288346781
2026-05-15,3567.584279,13692.393586,17259.977865618872
2026-05-22,3853.365952,14789.224058,18642.590010292282
2026-05-29,3018.377542,11584.537341,14602.914883554491
2026-06-05,4230.40296,14467.133164,18697.536123293074
2026-06-12,4072.738769,13927.953123,18000.691892185445
