abbott_customer_id,skyrizi_cd_nbrx_13wk,stelara_cd_nbrx_13wk,stelara_to_skyrizi_ratio,classification_group,holdout_status
1806,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
11903,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
12649,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
13419,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
20414,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
21956,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
23264,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
23418,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
23763,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
24004,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
24285,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
26284,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
28992,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
29209,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
29633,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
29817,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
30816,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
30827,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
32556,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
32595,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
35979,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
36100,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
36429,3.0,0.0,0.0000,skyrizi_only,Non-Holdout
39999,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
40485,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
41450,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
41509,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
41563,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
42684,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
50466,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
61721,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
66570,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
68291,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
68971,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
72608,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
73699,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
74748,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
76087,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
78289,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
79459,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
79476,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
79482,1.0,0.0,0.0000,skyrizi_only,Non-Holdout
84497,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
86131,2.0,1.0,0.5000,both_lean_stelara,Holdout
88885,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
89460,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
91001,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
98781,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
98805,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
118346,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
124826,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
128326,0.0,1.0,undefined_stelara_only,stelara_only,Holdout
130995,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
134281,0.0,0.0,undefined_no_cd_nbrx,no_cd_nbrx,Holdout
