WEEK_ENDING,UC,CD,SKYRIZI_TRx_total
2024-05-03,112.966665,5725.484189,5838.450853389494
2024-05-10,32.335343,1638.850675,1671.1860175090503
2024-05-17,85.100546,4313.147015,4398.247561450186
2024-05-24,59.091808,2994.947359,3054.0391668076145
2024-05-31,52.125788,2641.888853,2694.0146404787147
2024-06-07,277.40765,4278.222576,4555.630226463555
2024-06-14,295.923928,4563.783406,4859.70733395083
2024-06-21,419.053358,6462.704019,6881.757376486411
2024-06-28,245.08902,3779.799789,4024.8888090937676
2024-07-05,57.006091,2423.066339,2480.0724301539317
2024-07-12,78.766984,3348.021665,3426.788648577105
2024-07-19,79.154889,3364.509729,3443.6646176121244
2024-07-26,152.008806,6461.194162,6613.20296766175
2024-08-02,146.420684,3516.990097,3663.410781397918
2024-08-09,125.449878,3013.276317,3138.7261951192236
2024-08-16,234.910846,5642.502797,5877.413643025356
2024-08-23,80.521737,1934.113035,2014.6347727972866
2024-08-30,183.362329,4404.319644,4587.681973148022
2024-09-06,532.894184,4055.775243,4588.669426899163
2024-09-13,446.348391,3397.088594,3843.4369846570253
2024-09-20,370.880913,2822.717287,3193.5981996898663
2024-09-27,361.030267,2747.745541,3108.7758082277874
2024-10-04,786.400814,5330.201404,6116.602217674113
2024-10-11,362.076798,2454.145801,2816.2225987742167
2024-10-18,463.055442,3138.57606,3601.6315021078003
2024-10-25,435.204952,2949.806263,3385.0112153414075
2024-11-01,1188.546601,3556.774953,4745.3215541753925
2024-11-08,2032.682157,6082.885584,8115.567740932841
2024-11-15,1459.296946,4367.006579,5826.303524653305
2024-11-22,1676.729392,5017.682184,6694.411575576294
2024-11-29,1236.241574,3699.504136,4935.745709392375
2024-12-06,1372.33171,8582.075203,9954.406913609868
2024-12-13,380.585935,2380.049294,2760.635229120185
2024-12-20,1638.384062,10245.872135,11884.256197269171
2024-12-27,624.414594,3904.867144,4529.281738822556
2025-01-03,443.511856,2908.293893,3351.80574880293
2025-01-10,1143.262837,7496.855571,8640.11840739619
2025-01-17,1302.2038,8539.098356,9841.302156115737
2025-01-24,727.717077,4771.947138,5499.664215232131
2025-01-31,1164.516564,7636.225203,8800.741766194207
2025-02-07,1550.301595,7988.257875,9538.559470071157
2025-02-14,1110.028747,5719.658623,6829.687370415566
2025-02-21,2065.77788,10644.358797,12710.136676624477
2025-02-28,973.275275,5015.007344,5988.282619789644
2025-03-07,873.147318,7545.032961,8418.1802794645
2025-03-14,659.854457,5701.92856,6361.783017886281
2025-03-21,979.902722,8467.526824,9447.429546019148
2025-03-28,1197.428509,10347.208751,11544.637260138026
2025-04-04,1043.5351,5170.546016,6214.08111640409
2025-04-11,1163.656937,5765.730103,6929.387039775467
