WEEK_ENDING,UC,CD,TREMFYA_TRx_total
2024-05-03,4.674607,5.818709,10.49331604742801
2024-05-10,2.620262,3.261568,5.881830244238408
2024-05-17,5.920558,7.369606,13.290163772054754
2024-05-24,2.447269,3.046234,5.493502676695553
2024-05-31,4.338413,5.400233,9.738645958369265
2024-06-07,4.317527,4.164391,8.481918230047958
2024-06-14,4.955441,4.779678,9.73511864630995
2024-06-21,5.411919,5.219966,10.631885115185128
2024-06-28,3.244617,3.129535,6.374151329675635
2024-07-05,1.841074,6.804459,8.645532616927435
2024-07-12,1.802827,6.663102,8.465928624097561
2024-07-19,2.060331,7.614815,9.675145444955
2024-07-26,1.07932,3.98908,5.068400616337783
2024-08-02,1.883145,3.674594,5.557738857120092
2024-08-09,2.639847,5.151151,7.790997705126002
2024-08-16,1.599968,3.122028,4.721995354325414
2024-08-23,1.441231,2.812284,4.253515465784436
2024-08-30,3.769741,7.355921,11.125662316591228
2024-09-06,1.894665,4.709681,6.604346138084477
2024-09-13,3.128004,7.775464,10.903468043283446
2024-09-20,1.196489,2.974182,4.17067108867086
2024-09-27,1.571683,3.906825,5.478508120776325
2024-10-04,1.606987,3.48744,5.094427092719434
2024-10-11,2.884551,6.259975,9.144525852695285
2024-10-18,3.357742,7.286882,10.644623195514912
2024-10-25,1.40955,3.058968,4.468518565094907
2024-11-01,3.867847,5.382489,9.250336071490729
2024-11-08,2.731182,3.800708,6.531889804876605
2024-11-15,3.505119,4.877718,8.38283755347307
2024-11-22,2.83352,3.943122,6.776642372670853
2024-11-29,2.453276,3.413976,5.8672519929111
2024-12-06,7.94864,3.907791,11.856430911132842
2024-12-13,18.174777,8.935267,27.110043619595256
2024-12-20,6.305687,3.100065,9.405752659385032
2024-12-27,10.409804,5.117773,15.527576150621224
2025-01-03,20.616798,3.227086,23.843884588882485
2025-01-10,43.803253,6.856393,50.65964624708875
2025-01-17,41.486285,6.493725,47.980010391362185
2025-01-24,26.348626,4.124272,30.47289851000442
2025-01-31,62.284845,9.749262,72.0341071371815
2025-02-07,54.5928,9.233563,63.82636356159778
2025-02-14,74.548376,12.608753,87.15712988717469
2025-02-21,58.59979,9.911286,68.51107651877102
2025-02-28,80.285474,13.579098,93.86457240575686
2025-03-07,90.383836,7.545238,97.92907396611184
2025-03-14,115.176959,9.614967,124.79192674778751
2025-03-21,188.236901,15.714008,203.9509087444642
2025-03-28,136.872316,11.426095,148.29841050236698
2025-04-04,115.534601,10.634353,126.1689537085098
2025-04-11,281.200297,25.88301,307.0833072140896
2025-04-18,340.476231,31.339048,371.81527872779066
2025-04-25,247.320348,22.764539,270.084886917137
2025-05-02,304.324982,70.101158,374.4261403006615
2025-05-09,339.136617,78.120007,417.25662322237145
2025-05-16,377.957101,87.062292,465.0193931145486
2025-05-23,356.060252,82.018361,438.0786130213368
2025-05-30,209.026283,48.149135,257.17541750681534
2025-06-06,537.684553,413.729391,951.413944570582
2025-06-13,742.026462,570.963317,1312.9897786470422
2025-06-20,585.495362,450.51813,1036.0134929355793
2025-06-27,746.716506,574.572142,1321.2886479158492
2025-07-04,571.025203,384.6014,955.6266026457243
2025-07-11,934.535557,629.435761,1563.971318361986
2025-07-18,774.007313,521.315512,1295.322824314731
2025-07-25,788.200416,530.874962,1319.0753785560364
2025-08-01,853.240366,672.435408,1525.6757735703002
2025-08-08,721.699544,568.768599,1290.468142367789
2025-08-15,954.728496,752.417808,1707.1463032751112
2025-08-22,834.438057,657.617382,1492.055438342871
2025-08-29,807.179778,636.135238,1443.3150166720766
2025-09-05,649.476036,709.338504,1358.8145406125077
2025-09-12,999.422508,1091.539683,2090.9621909726675
2025-09-19,787.194286,859.750301,1646.944587320448
2025-09-26,1709.053295,1866.577426,3575.6307214719955
2025-10-03,1572.620924,1542.673731,3115.294655604945
2025-10-10,622.712087,610.853871,1233.5659584768491
2025-10-17,768.817677,754.177193,1522.9948708158452
2025-10-24,1097.076153,1076.184691,2173.260844287488
